Notifications started.
a3 03 9d 03 52 00
a3 03 9d 03 52 00
a2 03 9c 03 52 00
a6 03 9e 03 52 00
a5 03 9f 03 52 00
a6 03 a0 03 52 00
a3 03 9e 03 52 00
a5 03 9f 03 52 00
a5 03 9f 03 52 00
a5 03 9f 03 52 00
a6 03 a0 03 52 00
a7 03 a1 03 51 00
a7 03 a1 03 51 00
a4 03 9f 03 52 00
a6 03 a0 03 52 00
a4 03 9f 03 52 00
a7 03 a0 03 52 00
a4 03 9f 03 52 00
a4 03 9e 03 52 00
a5 03 9f 03 52 00
a6 03 a0 03 52 00
a6 03 a0 03 52 00
a8 03 a1 03 51 00
a7 03 a1 03 51 00
a5 03 a0 03 52 00
a6 03 a0 03 52 00
a6 03 a0 03 52 00
a4 03 9f 03 52 00
Notifications stopped.
--- 3
Notifications started.
d8 03 d2 03 47 00
d8 03 d2 03 47 00
d8 03 d2 03 47 00
da 03 d3 03 47 00
dc 03 d5 03 47 00
d9 03 d4 03 47 00
d9 03 d3 03 47 00
db 03 d4 03 47 00
da 03 d4 03 47 00
de 03 d6 03 47 00
dd 03 d6 03 47 00
de 03 d7 03 46 00
df 03 d8 03 46 00
dc 03 d7 03 46 00
dd 03 d7 03 46 00
dd 03 d7 03 46 00
de 03 d7 03 46 00
dd 03 d7 03 46 00
df 03 d8 03 46 00
df 03 d8 03 46 00
e1 03 da 03 46 00
e3 03 dc 03 45 00
e0 03 db 03 46 00
e1 03 db 03 46 00
e1 03 db 03 46 00
e3 03 dc 03 45 00
e3 03 dc 03 45 00
e5 03 de 03 45 00
e2 03 dd 03 45 00
e3 03 dd 03 45 00
e5 03 de 03 45 00
e4 03 de 03 45 00
e3 03 dd 03 45 00
e5 03 de 03 45 00
e3 03 dd 03 45 00
e3 03 dd 03 45 00
e4 03 dd 03 45 00
e4 03 dd 03 45 00
e4 03 dd 03 45 00
e6 03 df 03 45 00
e3 03 de 03 45 00
e4 03 de 03 45 00
e8 03 e0 03 45 00
e7 03 e0 03 45 00
e5 03 df 03 45 00
e9 03 e1 03 44 00
e6 03 e0 03 45 00
e9 03 e2 03 44 00
e7 03 e1 03 44 00
ea 03 e3 03 44 00
e9 03 e3 03 44 00
ea 03 e3 03 44 00
ea 03 e3 03 44 00
e8 03 e2 03 44 00
ea 03 e3 03 44 00
e7 03 e2 03 44 00
e7 03 e1 03 44 00
ea 03 e3 03 44 00
e7 03 e2 03 44 00
e9 03 e2 03 44 00
eb 03 e3 03 44 00
ea 03 e3 03 44 00
e9 03 e3 03 44 00
eb 03 e4 03 44 00
eb 03 e4 03 44 00
ea 03 e4 03 44 00
eb 03 e4 03 44 00
e9 03 e3 03 44 00
ec 03 e4 03 44 00
ea 03 e4 03 44 00
e8 03 e3 03 44 00
eb 03 e4 03 44 00
ea 03 e4 03 44 00
ed 03 e5 03 44 00
ea 03 e4 03 44 00
e9 03 e3 03 44 00
ea 03 e3 03 44 00
ec 03 e4 03 44 00
eb 03 e4 03 44 00
eb 03 e4 03 44 00
e9 03 e3 03 44 00
eb 03 e4 03 44 00
ea 03 e4 03 44 00
ea 03 e4 03 44 00
eb 03 e4 03 44 00
e9 03 e3 03 44 00
eb 03 e4 03 44 00
eb 03 e4 03 44 00
eb 03 e4 03 44 00
e9 03 e3 03 44 00
ee 03 e6 03 44 00
eb 03 e5 03 44 00
ed 03 e6 03 44 00
ee 03 e7 03 43 00
ed 03 e7 03 43 00
ee 03 e7 03 43 00
ee 03 e7 03 43 00
ee 03 e7 03 43 00
ec 03 e6 03 44 00
ed 03 e6 03 44 00
ee 03 e7 03 43 00
ed 03 e7 03 43 00
e9 03 e4 03 44 00
ea 03 e4 03 44 00
Notifications stopped.
--- 4
Notifications started.
03 04 fc 03 3f 00
01 04 fb 03 40 00
03 04 fc 03 3f 00
01 04 fb 03 40 00
03 04 fc 03 3f 00
07 04 ff 03 3f 00
01 04 fc 03 3f 00
02 04 fc 03 3f 00
ff 03 fa 03 40 00
02 04 fb 03 40 00
01 04 fb 03 40 00
03 04 fc 03 3f 00
02 04 fc 03 3f 00
05 04 fd 03 3f 00
05 04 fe 03 3f 00
05 04 fe 03 3f 00
04 04 fe 03 3f 00
07 04 ff 03 3f 00
06 04 ff 03 3f 00
03 04 fd 03 3f 00
05 04 fe 03 3f 00
04 04 fe 03 3f 00
04 04 fe 03 3f 00
06 04 ff 03 3f 00
05 04 ff 03 3f 00
04 04 fe 03 3f 00
05 04 fe 03 3f 00
04 04 fe 03 3f 00
05 04 fe 03 3f 00
05 04 fe 03 3f 00
06 04 ff 03 3f 00
04 04 fe 03 3f 00
03 04 fd 03 3f 00
06 04 fe 03 3f 00
08 04 00 04 3f 00
07 04 00 04 3f 00
06 04 00 04 3f 00
09 04 01 04 3e 00
09 04 02 04 3e 00
06 04 00 04 3f 00
05 04 ff 03 3f 00
08 04 00 04 3f 00
07 04 00 04 3f 00
0b 04 03 04 3e 00
09 04 03 04 3e 00
0a 04 03 04 3e 00
09 04 03 04 3e 00
0b 04 04 04 3e 00
06 04 01 04 3e 00
08 04 01 04 3e 00
0a 04 02 04 3e 00
08 04 02 04 3e 00
0a 04 03 04 3e 00
0a 04 03 04 3e 00
09 04 03 04 3e 00
0a 04 03 04 3e 00
0c 04 04 04 3e 00
0d 04 05 04 3e 00
09 04 03 04 3e 00
0b 04 04 04 3e 00
09 04 03 04 3e 00
0b 04 04 04 3e 00
09 04 03 04 3e 00
0a 04 03 04 3e 00
0c 04 04 04 3e 00
0b 04 04 04 3e 00
0a 04 04 04 3e 00
08 04 02 04 3e 00
0a 04 03 04 3e 00
0d 04 05 04 3e 00
0a 04 04 04 3e 00
0b 04 04 04 3e 00
0a 04 04 04 3e 00
0a 04 04 04 3e 00
0d 04 05 04 3e 00
09 04 03 04 3e 00
0b 04 04 04 3e 00
0c 04 05 04 3e 00
0d 04 06 04 3e 00
0b 04 05 04 3e 00
0a 04 04 04 3e 00
0e 04 06 04 3e 00
0d 04 06 04 3e 00
0b 04 05 04 3e 00
0d 04 06 04 3e 00
0d 04 06 04 3e 00
0e 04 07 04 3d 00
0d 04 07 04 3d 00
0c 04 06 04 3e 00
0b 04 05 04 3e 00
0b 04 05 04 3e 00
0d 04 06 04 3e 00
0f 04 07 04 3d 00
0e 04 07 04 3d 00
0c 04 06 04 3e 00
0d 04 06 04 3e 00
0d 04 06 04 3e 00
0e 04 07 04 3d 00
Notifications stopped.
--- 5
Notifications started.
1c 04 16 04 3b 00
1a 04 14 04 3b 00
1b 04 14 04 3b 00
1e 04 16 04 3b 00
1d 04 16 04 3b 00
1c 04 16 04 3b 00
19 04 14 04 3b 00
1e 04 16 04 3b 00
1d 04 16 04 3b 00
1e 04 17 04 3b 00
1d 04 16 04 3b 00
1d 04 16 04 3b 00
1d 04 16 04 3b 00
1f 04 17 04 3b 00
1e 04 17 04 3b 00
1e 04 17 04 3b 00
1f 04 18 04 3a 00
1d 04 17 04 3b 00
1d 04 16 04 3b 00
20 04 18 04 3a 00
20 04 19 04 3a 00
1e 04 18 04 3a 00
21 04 19 04 3a 00
1c 04 17 04 3b 00
1f 04 18 04 3a 00
1e 04 17 04 3b 00
20 04 18 04 3a 00
21 04 19 04 3a 00
21 04 1a 04 3a 00
20 04 19 04 3a 00
20 04 19 04 3a 00
1f 04 18 04 3a 00
23 04 1a 04 3a 00
21 04 1a 04 3a 00
23 04 1b 04 3a 00
23 04 1c 04 3a 00
20 04 1a 04 3a 00
22 04 1b 04 3a 00
1f 04 19 04 3a 00
22 04 1a 04 3a 00
20 04 19 04 3a 00
20 04 19 04 3a 00
20 04 19 04 3a 00
21 04 1a 04 3a 00
20 04 19 04 3a 00
21 04 1a 04 3a 00
22 04 1b 04 3a 00
20 04 1a 04 3a 00
20 04 19 04 3a 00
21 04 1a 04 3a 00
21 04 1a 04 3a 00
23 04 1b 04 3a 00
21 04 1a 04 3a 00
21 04 1a 04 3a 00
24 04 1c 04 3a 00
21 04 1b 04 3a 00
21 04 1a 04 3a 00
22 04 1b 04 3a 00
24 04 1c 04 3a 00
20 04 1a 04 3a 00
21 04 1a 04 3a 00
22 04 1b 04 3a 00
22 04 1b 04 3a 00
21 04 1a 04 3a 00
22 04 1b 04 3a 00
20 04 1a 04 3a 00
22 04 1b 04 3a 00
23 04 1c 04 3a 00
23 04 1c 04 3a 00
22 04 1b 04 3a 00
20 04 1a 04 3a 00
22 04 1b 04 3a 00
22 04 1b 04 3a 00
23 04 1c 04 3a 00
23 04 1c 04 3a 00
21 04 1b 04 3a 00
21 04 1a 04 3a 00
22 04 1b 04 3a 00
20 04 1a 04 3a 00
22 04 1b 04 3a 00
22 04 1b 04 3a 00
20 04 1a 04 3a 00
21 04 1a 04 3a 00
23 04 1b 04 3a 00
22 04 1b 04 3a 00
21 04 1a 04 3a 00
21 04 1a 04 3a 00
23 04 1b 04 3a 00
21 04 1a 04 3a 00
22 04 1b 04 3a 00
21 04 1a 04 3a 00
21 04 1a 04 3a 00
22 04 1b 04 3a 00
24 04 1c 04 3a 00
25 04 1d 04 39 00
24 04 1d 04 39 00
25 04 1e 04 39 00
23 04 1d 04 39 00
21 04 1b 04 3a 00
21 04 1a 04 3a 00
23 04 1b 04 3a 00
24 04 1c 04 3a 00
25 04 1d 04 39 00
22 04 1c 04 3a 00
24 04 1d 04 39 00
Notifications stopped.
--- 6
Notifications started.
37 04 2f 04 36 00
35 04 2e 04 37 00
37 04 2f 04 36 00
34 04 2e 04 37 00
34 04 2d 04 37 00
37 04 2f 04 36 00
34 04 2e 04 37 00
36 04 2f 04 36 00
35 04 2e 04 37 00
35 04 2e 04 37 00
36 04 2f 04 36 00
37 04 30 04 36 00
34 04 2e 04 37 00
34 04 2d 04 37 00
36 04 2e 04 37 00
37 04 2f 04 36 00
35 04 2e 04 37 00
35 04 2e 04 37 00
35 04 2e 04 37 00
38 04 30 04 36 00
36 04 2f 04 36 00
36 04 2f 04 36 00
34 04 2e 04 37 00
36 04 2f 04 36 00
36 04 2f 04 36 00
35 04 2e 04 37 00
38 04 30 04 36 00
36 04 2f 04 36 00
37 04 30 04 36 00
37 04 30 04 36 00
3a 04 32 04 36 00
36 04 30 04 36 00
35 04 2f 04 36 00
37 04 30 04 36 00
36 04 2f 04 36 00
37 04 30 04 36 00
39 04 31 04 36 00
39 04 32 04 36 00
38 04 31 04 36 00
37 04 30 04 36 00
39 04 31 04 36 00
3a 04 32 04 36 00
38 04 31 04 36 00
38 04 31 04 36 00
37 04 30 04 36 00
3b 04 32 04 36 00
39 04 32 04 36 00
37 04 31 04 36 00
38 04 31 04 36 00
3a 04 32 04 36 00
39 04 32 04 36 00
39 04 32 04 36 00
39 04 32 04 36 00
3a 04 33 04 36 00
3b 04 34 04 36 00
3a 04 33 04 36 00
39 04 32 04 36 00
3b 04 33 04 36 00
3a 04 33 04 36 00
3a 04 33 04 36 00
3d 04 35 04 35 00
39 04 33 04 36 00
3a 04 33 04 36 00
3b 04 34 04 36 00
3b 04 34 04 36 00
3a 04 33 04 36 00
38 04 32 04 36 00
3b 04 33 04 36 00
39 04 32 04 36 00
3c 04 34 04 36 00
3b 04 34 04 36 00
3c 04 35 04 35 00
38 04 33 04 36 00
3a 04 33 04 36 00
39 04 32 04 36 00
39 04 32 04 36 00
37 04 31 04 36 00
3a 04 32 04 36 00
3a 04 33 04 36 00
39 04 32 04 36 00
3b 04 33 04 36 00
3a 04 33 04 36 00
39 04 32 04 36 00
3a 04 33 04 36 00
39 04 32 04 36 00
3c 04 34 04 36 00
3c 04 35 04 35 00
3b 04 34 04 36 00
39 04 33 04 36 00
3c 04 34 04 36 00
3c 04 35 04 35 00
3b 04 34 04 36 00
3b 04 34 04 36 00
3a 04 33 04 36 00
39 04 32 04 36 00
39 04 32 04 36 00
39 04 32 04 36 00
3b 04 33 04 36 00
3b 04 34 04 36 00
3c 04 35 04 35 00
3a 04 34 04 36 00
Notifications stopped.
--- 7
Notifications started.
4c 04 45 04 33 00
4e 04 46 04 33 00
4a 04 44 04 33 00
49 04 43 04 33 00
4c 04 44 04 33 00
4b 04 44 04 33 00
4b 04 44 04 33 00
4d 04 45 04 33 00
4c 04 45 04 33 00
4b 04 44 04 33 00
4b 04 44 04 33 00
4c 04 45 04 33 00
4b 04 44 04 33 00
4d 04 45 04 33 00
4c 04 45 04 33 00
4e 04 46 04 33 00
4e 04 47 04 32 00
4c 04 46 04 33 00
4d 04 46 04 33 00
4e 04 47 04 32 00
51 04 49 04 32 00
4c 04 47 04 32 00
4f 04 48 04 32 00
4e 04 47 04 32 00
50 04 48 04 32 00
4f 04 48 04 32 00
4e 04 47 04 32 00
4f 04 48 04 32 00
51 04 49 04 32 00
52 04 4a 04 32 00
50 04 49 04 32 00
50 04 49 04 32 00
50 04 49 04 32 00
51 04 49 04 32 00
51 04 49 04 32 00
51 04 49 04 32 00
4e 04 48 04 32 00
4f 04 48 04 32 00
50 04 49 04 32 00
52 04 4a 04 32 00
51 04 4a 04 32 00
51 04 4a 04 32 00
51 04 4a 04 32 00
50 04 49 04 32 00
53 04 4b 04 32 00
53 04 4b 04 32 00
52 04 4b 04 32 00
52 04 4b 04 32 00
53 04 4b 04 32 00
52 04 4b 04 32 00
52 04 4b 04 32 00
54 04 4c 04 32 00
52 04 4b 04 32 00
52 04 4b 04 32 00
52 04 4b 04 32 00
53 04 4b 04 32 00
56 04 4d 04 31 00
54 04 4d 04 31 00
53 04 4c 04 32 00
52 04 4b 04 32 00
56 04 4d 04 31 00
53 04 4c 04 32 00
54 04 4c 04 32 00
55 04 4d 04 31 00
54 04 4d 04 31 00
55 04 4d 04 31 00
57 04 4f 04 31 00
55 04 4e 04 31 00
55 04 4e 04 31 00
55 04 4e 04 31 00
51 04 4b 04 32 00
57 04 4e 04 31 00
58 04 50 04 31 00
57 04 50 04 31 00
5a 04 52 04 31 00
56 04 50 04 31 00
57 04 50 04 31 00
55 04 4f 04 31 00
56 04 4f 04 31 00
57 04 4f 04 31 00
55 04 4e 04 31 00
57 04 4f 04 31 00
58 04 50 04 31 00
58 04 50 04 31 00
55 04 4f 04 31 00
55 04 4e 04 31 00
56 04 4e 04 31 00
56 04 4e 04 31 00
55 04 4e 04 31 00
57 04 4f 04 31 00
58 04 50 04 31 00
59 04 51 04 31 00
57 04 50 04 31 00
56 04 4f 04 31 00
56 04 4f 04 31 00
57 04 4f 04 31 00
59 04 51 04 31 00
55 04 4f 04 31 00
54 04 4e 04 31 00
58 04 50 04 31 00
57 04 50 04 31 00
59 04 51 04 31 00
57 04 50 04 31 00
57 04 50 04 31 00
59 04 51 04 31 00
58 04 51 04 31 00
59 04 51 04 31 00
5b 04 53 04 30 00
59 04 52 04 31 00
56 04 50 04 31 00
57 04 50 04 31 00
55 04 4f 04 31 00
56 04 4f 04 31 00
56 04 4f 04 31 00
55 04 4e 04 31 00
56 04 4e 04 31 00
58 04 50 04 31 00
55 04 4f 04 31 00
55 04 4e 04 31 00
57 04 4f 04 31 00
56 04 4f 04 31 00
56 04 4f 04 31 00
55 04 4e 04 31 00
56 04 4e 04 31 00
57 04 4f 04 31 00
59 04 51 04 31 00
59 04 51 04 31 00
56 04 50 04 31 00
5a 04 52 04 31 00
58 04 51 04 31 00
5b 04 53 04 30 00
57 04 51 04 31 00
58 04 51 04 31 00
58 04 51 04 31 00
5a 04 52 04 31 00
58 04 51 04 31 00
56 04 50 04 31 00
56 04 4f 04 31 00
59 04 51 04 31 00
5a 04 52 04 31 00
57 04 51 04 31 00
57 04 50 04 31 00
56 04 4f 04 31 00
57 04 4f 04 31 00
57 04 4f 04 31 00
5a 04 51 04 31 00
58 04 51 04 31 00
57 04 50 04 31 00
59 04 51 04 31 00
57 04 50 04 31 00
59 04 51 04 31 00
58 04 51 04 31 00
Notifications stopped.
--- 8
Notifications started.
73 04 6c 04 2c 00
6e 04 69 04 2d 00
76 04 6c 04 2c 00
73 04 6c 04 2c 00
76 04 6e 04 2c 00
72 04 6c 04 2c 00
71 04 6b 04 2d 00
76 04 6d 04 2c 00
76 04 6e 04 2c 00
76 04 6e 04 2c 00
75 04 6e 04 2c 00
75 04 6e 04 2c 00
74 04 6d 04 2c 00
73 04 6c 04 2c 00
74 04 6c 04 2c 00
75 04 6d 04 2c 00
74 04 6d 04 2c 00
77 04 6f 04 2c 00
77 04 6f 04 2c 00
76 04 6f 04 2c 00
76 04 6f 04 2c 00
76 04 6f 04 2c 00
76 04 6f 04 2c 00
78 04 70 04 2c 00
77 04 70 04 2c 00
78 04 70 04 2c 00
77 04 70 04 2c 00
76 04 6f 04 2c 00
77 04 6f 04 2c 00
77 04 6f 04 2c 00
79 04 71 04 2c 00
78 04 71 04 2c 00
77 04 70 04 2c 00
78 04 70 04 2c 00
78 04 70 04 2c 00
7a 04 72 04 2c 00
7c 04 74 04 2b 00
7b 04 74 04 2b 00
79 04 73 04 2b 00
7b 04 73 04 2b 00
7b 04 73 04 2b 00
79 04 72 04 2c 00
7c 04 74 04 2b 00
7b 04 74 04 2b 00
7b 04 74 04 2b 00
7b 04 74 04 2b 00
7b 04 74 04 2b 00
7c 04 74 04 2b 00
7b 04 74 04 2b 00
7e 04 76 04 2b 00
79 04 73 04 2b 00
7b 04 73 04 2b 00
7f 04 76 04 2b 00
7c 04 75 04 2b 00
7f 04 77 04 2b 00
7c 04 76 04 2b 00
7d 04 76 04 2b 00
7b 04 75 04 2b 00
7d 04 75 04 2b 00
7e 04 76 04 2b 00
7d 04 76 04 2b 00
7c 04 75 04 2b 00
80 04 77 04 2b 00
7f 04 77 04 2b 00
81 04 79 04 2a 00
81 04 79 04 2a 00
7d 04 77 04 2b 00
7e 04 77 04 2b 00
7c 04 76 04 2b 00
7e 04 76 04 2b 00
7d 04 76 04 2b 00
7e 04 76 04 2b 00
82 04 79 04 2a 00
80 04 79 04 2a 00
81 04 79 04 2a 00
80 04 79 04 2a 00
82 04 7a 04 2a 00
81 04 7a 04 2a 00
82 04 7a 04 2a 00
7f 04 79 04 2a 00
82 04 7a 04 2a 00
83 04 7b 04 2a 00
83 04 7b 04 2a 00
81 04 7a 04 2a 00
80 04 79 04 2a 00
81 04 79 04 2a 00
80 04 79 04 2a 00
81 04 79 04 2a 00
80 04 79 04 2a 00
84 04 7b 04 2a 00
83 04 7b 04 2a 00
81 04 7a 04 2a 00
80 04 79 04 2a 00
83 04 7b 04 2a 00
83 04 7b 04 2a 00
84 04 7c 04 2a 00
80 04 7a 04 2a 00
7f 04 79 04 2a 00
80 04 79 04 2a 00
80 04 79 04 2a 00
83 04 7b 04 2a 00
82 04 7b 04 2a 00
Notifications stopped.
--- 9
Notifications started.
31 07 24 07 00 00
35 07 27 07 00 00
33 07 27 07 00 00
35 07 28 07 00 00
33 07 27 07 00 00
36 07 29 07 00 00
31 07 27 07 00 00
36 07 29 07 00 00
37 07 2a 07 00 00
34 07 29 07 00 00
37 07 2a 07 00 00
33 07 28 07 00 00
36 07 29 07 00 00
35 07 29 07 00 00
33 07 28 07 00 00
35 07 29 07 00 00
37 07 2a 07 00 00
36 07 2a 07 00 00
38 07 2b 07 00 00
37 07 2b 07 00 00
3b 07 2d 07 00 00
38 07 2c 07 00 00
